,source_sentence,human,time,location,label,augmentation
1195,"On June 14, 1943, Oppenheimer was in Berkeley to recruit David Hawkins as an administrative assistant.",David Hawkins,"June 14, 1943",Berkeley,start position,"On June 14, 1943, Oppenheimer was in Berkeley recruiting David Hawkins as an administrative assistant."
1196,"In August 1993, Flowers was selected to attend the Industrial College of the Armed Forces at Fort Lesley J. McNair in Washington, receiving a Master of Science degree from the college in June 1994.",Flowers,June 1994,Washington,education,"Flowers was selected to attend the Industrial College of the Armed Forces at Fort Lesley J. McNair in Washington in August 1993, and received a Master of Science degree from the college in June 1994."
1197,"In 1962, Blaisdell married  Irene Hiroko Saito, RN, in Chicago, IL. with adopted Mitsunori as ring boy.",Blaisdell,1962,Chicago,marry,"In Chicago, IL, Blaisdell married Irene Hiroko Saito, RN, in 1962, with adopted Mitsunori as ring boy."
1198,"scientistJingdong Zhang (June 2, 1968 – January 09, 2020) was a Chinese–Danish chemist and Professor of Chemistry at the Technical University of Denmark.",scientistJingdong Zhang,"June 2, 1968",Technical University of Denmark,birth,"Jingdong Zhang (June 2, 1968 – January 09, 2020), a Chinese–Danish chemist and Professor of Chemistry at the Technical University of Denmark, was a scientist."
1199,She received her B.A. in Biology and Physics from Wesleyan University in 1979 where she graduated first in her class.,she,1979,Wesleyan University,education,"She graduated first in her class from Wesleyan University in 1979, where she received her B.A. in Biology and Physics."
1200,"On 22 October 2011 against Watford at the KC Stadium, Liam Rosenior""s first low ball was blocked, but he made sure he got a second chance to cross and McLean was on hand to fire home his first goal at the KC Stadium.","Liam Rosenior""s",22 October 2011,KC Stadium,competition,"Liam Rosenior""s initial low ball was blocked, but he ensured he got a second chance to cross and McLean was there to fire home his first goal at the KC Stadium on 22 October 2011 against Watford."
1201,"was first elected at a by-election in 1926, following the resignation of the Conservative MP Stanley Jackson to take up the post of Governor of Bengal.",Stanley Jackson,1926,Bengal,start position,"Following the resignation of the Conservative MP Stanley Jackson to take up the post of Governor of Bengal, he was first elected at a by-election in 1926."
1202,"Mees was born in Hingene, Province of Antwerp (Belgium) on 26 September 1876.",Mees,26 September 1876,Hingene,birth,"Mees was born in Hingene, Province of Antwerp (Belgium) on 26 September 1876."
1203,"Shattiwaza or Šattiwaza, alternatively referred to as Kurtiwaza or Mattiwaza, was a king of the Hurrian kingdom of Mitanni, who reigned c. 1330-1305 BC.",Šattiwaza,c. 1330-1305 BC,Mitanni,birth,"Shattiwaza or Šattiwaza, alternatively referred to as Kurtiwaza or Mattiwaza, was a king of the Hurrian kingdom of Mitanni, who reigned c. 1330-1305 BC."
1204,"Living most of the rest of his life in Wieuwerd, he died in Middelburg between 1702 and 1704.",he,between 1702 and 1704,Wieuwerd,die,"Living most of the rest of his life in Wieuwerd, he died in Middelburg between 1702 and 1704."
1205,His undergraduate studies were at Caning College of Lucknow University and he completed the course in 1958.,he,1958,Caning College,education,He completed his undergraduate studies at Caning College of Lucknow University in 1958.
1206,"In September 2001, she enrolled at Manchester Metropolitan University to do an MA in Creative Writing.",she,September 2001,Manchester Metropolitan University,education,She enrolled at Manchester Metropolitan University in September 2001 to do an MA in Creative Writing.
1207,"Lee was born on December 15, 1910 in Detroit.",Lee,"December 15, 1910",Detroit,birth,"Lee was born on December 15, 1910 in Detroit."
1208,"At age thirty-five, Wilka made her official debut at the 2008 Summer Olympics in Beijing, where she competed in the women""s 10 m air pistol shooting.",she,2008,Beijing,competition,"At age thirty-five, Wilka made her official debut at the 2008 Summer Olympics in Beijing, where she competed in the women""s 10 m air pistol shooting."
1209,"In 1911, Carr won the Craven Scholarship to attend Trinity College at Cambridge.",Carr,1911,Cambridge,education,"In 1911, Carr won the Craven Scholarship to attend Trinity College at Cambridge."
1210,"Bonnie Bullough (5 January 1927 in Delta, Utah – 12 April 1996) was an accomplished sexologist and author, who helped to develop the first Nurse Practitioner Program in California at UCLA in 1968.",Bonnie Bullough,1968,California,creation,"Bonnie Bullough (5 January 1927 in Delta, Utah – 12 April 1996) was a sexologist and author who made significant contributions to the development of the first Nurse Practitioner Program in California at UCLA in 1968."
1211,"The family moved to San Diego, California in the fall of 1959 due to Rose Marie""s health problems.","Rose Marie""s",the fall of 1959,California,go to,"The family relocated to San Diego, California in the fall of 1959 due to Rose Marie""s health issues."
1212,"Earlier in 2012, she graced the Global Peace Fashion Show to commemorate the victims of 26/11 Mumbai terror attacks.",she,Earlier in 2012,Mumbai,exhibition,"Earlier in 2012, she participated in the Global Peace Fashion Show to honor the victims of 26/11 Mumbai terror attacks."
1213,"In 1888 he was articled to a Melbourne firm of architects but when he emerged four years later the country was in a severe recession, with little chance of employment, so turned to journalism.",he,1888,Melbourne,start position,"In 1888 he was apprenticed to a Melbourne firm of architects but when he completed his training four years later the country was in a severe recession, with little chance of employment, so he turned to journalism."
1214,"On March 29, 2001, Kopp was arrested without an incident by French law enforcement in the town of Dinan, Brittany, just after picking up a package containing $300 outside of a post office.",Kopp,"March 29, 2001",Dinan,arrest-jail,"On March 29, 2001, Kopp was apprehended without incident by French law enforcement in the town of Dinan, Brittany, just after picking up a package containing $300 outside of a post office."
1215,Powers and son Stephen were visible in September 1956 in a Baháʼí youth group in Tucson and in December 1959 he attended the Arizona state Baháʼí convention coming from Flagstaff.,Stephen,September 1956,Tucson,assembly,Powers and his son Stephen were active in September 1956 in a Baháʼí youth group in Tucson and in December 1959 he attended the Arizona state Baháʼí convention coming from Flagstaff.
1216,Combs was born in Napier in 1881.,Combs,1881,Napier,birth,Combs was born in Napier in 1881.
1217,In 1227 he founded Rozendaal Abbey for his daughters.,he,1227,Rozendaal Abbey,start org,In 1227 he established Rozendaal Abbey for his daughters.
1218,"Bestwick was hired as the head football coach at Marshall University in 1971 after the 1970 plane crash that took the lives of most of the university""s football team and coaching staff.",Bestwick,1971,Marshall University,start position,"Bestwick was appointed as the head football coach at Marshall University in 1971 after the 1970 plane crash that claimed the lives of most of the university""s football team and coaching staff."
1219,"He completed his PhD in New Testament in 2017 at the University of St Andrews, supervised by N.T. Wright.",He,2017,University of St Andrews,education,"He earned his PhD in New Testament in 2017 at the University of St Andrews, under the supervision of N.T. Wright."
1220,"After retirement from the military in June 1965, he worked for Clark Rubber Stores in Melbourne for a period.",he,June 1965,Melbourne,position held,"Following his retirement from the military in June 1965, he spent a period working for Clark Rubber Stores in Melbourne."
1221,"On 12 December 1667, during the papacy of Pope Clement IX, he was appointed Bishop of Novara.",Clement IX,12 December 1667,Novara,start position,"On 12 December 1667, during the papacy of Pope Clement IX, he received the appointment as Bishop of Novara."
1222,"Most recently, in 2012, Szymanski held a residency at CCA Andratx in Mallorca, Spain.",Szymanski,2012,Mallorca,settlement,"Most recently, in 2012, Szymanski completed a residency at CCA Andratx in Mallorca, Spain."
1223,"On July 11, 1936, Hughes struck and killed a pedestrian named Gabriel S. Meyer with his car at the corner of 3rd Street and Lorraine in Los Angeles.",Gabriel S. Meyer,"July 11, 1936",3rd Street and Lorraine,die,"On July 11, 1936, Hughes was involved in a car accident where he struck and killed a pedestrian named Gabriel S. Meyer at the corner of 3rd Street and Lorraine in Los Angeles."
1224,"Dengokl was born on November 25, 1955, as the child of Mr. Hiroshi Nakamura of Peleliu State, and Didil Dengokl of Airai State.",Didil Dengokl,"November 25, 1955",Peleliu State,give birth,"Dengokl, born on November 25, 1955, was the child of Mr. Hiroshi Nakamura of Peleliu State, and Didil Dengokl of Airai State."
1225,In 1915 Malik Qambar crossed into Russia with his wife.,Malik Qambar,1915,Russia,go to,In 1915 Malik Qambar made the journey into Russia with his wife.
1226,"In 1990, Heather Carroll relocated to Luxembourg where she has since been continuing with her artwork and career as a multi-disciplinary artist as well as art instructor and lecturer.",Heather Carroll,1990,Luxembourg,start position,"In 1990, Heather Carroll made the decision to relocate to Luxembourg where she has since been continuing with her artwork and career as a multi-disciplinary artist as well as art instructor and lecturer."
1227,"He moved to Memorial Sloan Kettering in 2011 to lead the Cancer Biology and Genetics Program in the Sloan Kettering Institute, where he discovered mechanisms whereby senescence inducing therapies promote cancer cell immune surveillance.",He,2011,Memorial Sloan Kettering,start position,"He made the move to Memorial Sloan Kettering in 2011 to lead the Cancer Biology and Genetics Program in the Sloan Kettering Institute, where he made discoveries regarding mechanisms whereby senescence inducing therapies promote cancer cell immune surveillance."
1228,He was a Judge of Probate for Suffolk County from 1847 to 1858.,He,1847 to 1858,Suffolk County,position held,He served as Judge of Probate for Suffolk County from 1847 to 1858.
1229,Kate Williams Evans died in February 1961 at Oswestry and District General Hospital in Oswestry; her ashes are buried with those of her sister Margaret.,Kate Williams Evans,February 1961,Oswestry,die,Kate Williams Evans passed away in February 1961 at Oswestry and District General Hospital in Oswestry; her ashes are buried with those of her sister Margaret.
1230,"The first appearance has Charles Lindauer born in ""New York"" in 1870, living with his mother and his wife Anna, and his first three children: Eloise, William, and Adeline.",Adeline,1870,New York,give birth,"Charles Lindauer was born in ""New York"" in 1870, and he lived with his mother, his wife Anna, and his first three children: Eloise, William, and Adeline."
1231,"Born in Frankfurt, Germany, Troyer settled in San Francisco sometime before 1871, where he became known alternatively as a musician, pianist and teacher of music; he began using the name Carlos around 1885.",he,1871,San Francisco,settlement,"Troyer, born in Frankfurt, Germany, settled in San Francisco sometime before 1871, where he became known alternatively as a musician, pianist, and teacher of music; he began using the name Carlos around 1885."
1232,"Spade was born on July 22, 1964, in Birmingham, Michigan, to Judith J. (née Meek), a writer and magazine editor, and Wayne M. ""Sam"" Spade, a sales representative.","Wayne M. ""Sam"" Spade","July 22, 1964",Birmingham,give birth,"Spade was born on July 22, 1964, in Birmingham, Michigan, to Judith J. (née Meek), a writer and magazine editor, and Wayne M. ""Sam"" Spade, a sales representative."
1233,"In the same year he travelled to Italy, returning two years later.",he,two years,Italy,leave from,"He travelled to Italy in the same year, returning two years later."
1234,"In 1965, James was appointed founding dean of the Mount Sinai School of Medicine.",James,1965,Mount Sinai School of Medicine,start position,James was appointed founding dean of the Mount Sinai School of Medicine in 1965.
1235,"By 1920, Cypert worked as a general practice lawyer in Little Rock, Arkansas.",Cypert,1920,Arkansas,position held,"By 1920, Cypert was working as a general practice lawyer in Little Rock, Arkansas."
1236,"In 1995, Andrew killed Kai Dempsey at the Railway Hotel, Liverpool but was acquitted purportedly after having intimidated prosecution witnesses.",Andrew,1995,Liverpool,attack,"Andrew killed Kai Dempsey at the Railway Hotel, Liverpool in 1995, but he was acquitted purportedly after having intimidated prosecution witnesses."
1237,"In 1968, he was appointed Associate Professor of Psychology at Columbia University, and promoted to professor in 1970.",he,1970,Columbia University,start position,"In 1968, he was appointed Associate Professor of Psychology at Columbia University, and he was promoted to professor in 1970."
1238,"Sund died in December 1965, and was buried at Vestre gravlund.",Sund,December 1965,Vestre gravlund,die,"Sund died in December 1965, and he was buried at Vestre gravlund."
1239,"In 2012, she graduated with a Fine Art master""s degree in RMIT University.",she,2012,RMIT University,education,"In 2012, she completed a Fine Art master""s degree at RMIT University."
1240,"Born in 1927, Marie Amelie Lam Po Tang graduated from National Taiwan University where she studied foreign languages and literature.",she,1927,National Taiwan University,education,Marie Amelie Lam Po Tang was born in 1927 and graduated from National Taiwan University where she studied foreign languages and literature.
1241,"Nicholas died at Rouen, Normandy in 1264.",Nicholas,1264,Rouen,die,"Nicholas passed away at Rouen, Normandy in 1264."
1242,"Hadoke won the inaugural Les Dawson Award for Services To Comedy at the 2003 Manchester Comedy Festival (beating a shortlist including Peter Kay, Johnny Vegas, Caroline Aherne, Dave Spikey and Ken Dodd).Hadoke",Johnny Vegas,2003,Manchester Comedy Festival,ceremony,"Hadoke emerged as the winner of the inaugural Les Dawson Award for Services To Comedy at the 2003 Manchester Comedy Festival (beating a shortlist including Peter Kay, Johnny Vegas, Caroline Aherne, Dave Spikey and Ken Dodd)."
1243,"In 1971, Laws journeyed to Los Angeles, California to embark upon a musical career.",Laws,1971,California,start position,"In 1971, Laws traveled to Los Angeles, California to embark upon a musical career."
1244,In 1916 she came to Germany and was discovered by Swedish film actor and director Nils Olaf Chrisander.,Nils Olaf Chrisander,1916,Germany,position held,In 1916 she came to Germany and was discovered by Swedish film actor and director Nils Olaf Chrisander.
1245,"In March 1998 after two years, Cook made the decision to leave Berklee with his bandmate, John Mayer, to move their duo to Atlanta, Georgia, as he was a Georgia native and was aware of the music scene in the city.",Cook,March 1998,Berklee,leave from,"In March 1998 after two years, Cook made the decision to leave Berklee with his bandmate, John Mayer, to move their duo to Atlanta, Georgia, as he was a Georgia native and was aware of the music scene in the city."
1246,"Donald Guthrie (June 23, 1880 – October 30, 1958) was an American surgeon, best known for establishing Guthrie Clinic in Sayre, Pennsylvania in 1910.",Donald Guthrie,1910,Sayre,position held,"Donald Guthrie (June 23, 1880 – October 30, 1958) was an American surgeon, best known for establishing Guthrie Clinic in Sayre, Pennsylvania in 1910."
1247,"Between 1924 and 1929, she completed further study abroad in Italy and France.",she,Between 1924 and 1929,Italy,education,"Between 1924 and 1929, she completed further study abroad in Italy and France."
1248,"In 1912, Rockenbach graduated from the United States Army War College.",Rockenbach,1912,United States Army War College,education,"In 1912, Rockenbach graduated from the United States Army War College."
1249,"At the 2012 Summer Olympics in London, United Kingdom, Kpossi competed in the 50 metre freestyle.",Kpossi,2012,London,competition,"At the 2012 Summer Olympics in London, United Kingdom, Kpossi participated in the 50 metre freestyle."
1250,He completed his music studies at the Kharkiv Conservatory in 1936 under S. Bohatyriov.,He,1936,Kharkiv Conservatory,education,S. Bohatyriov completed his music studies at the Kharkiv Conservatory in 1936.
1251,"Vidal was born on February 6, 1931, in Mogpog, Marinduque to Faustino S. Vidal of Pila, Laguna, and Natividad Jamin of Mogpog, the fifth of six siblings.",Natividad Jamin,"February 6, 1931",Mogpog,give birth,"Vidal, the fifth of six siblings, was born on February 6, 1931, in Mogpog, Marinduque to Faustino S. Vidal of Pila, Laguna, and Natividad Jamin of Mogpog."
1252,"Gabrielsson was born on 13 August 1891 in Korsberga, Skaraborg County, Sweden, the son of Gabriel Nathanael Gabrielsson and Anna Helmina Larsson, who married on 14 April 1889.",Gabriel Nathanael Gabrielsson,13 August 1891,Korsberga,give birth,"Gabrielsson, the son of Gabriel Nathanael Gabrielsson and Anna Helmina Larsson, who married on 14 April 1889, was born on 13 August 1891 in Korsberga, Skaraborg County, Sweden."
1253,In 1992 Milinović entered Louisiana College to study Vocal Performance/Opera with Dr. Loryn E. Frey.,Milinović,1992,Louisiana College,education,"In 1992, Milinović entered Louisiana College to study Vocal Performance/Opera with Dr. Loryn E. Frey."
1254,"While studying at Oxford, he made a single appearance in first-class cricket for Oxford University against the Marylebone Cricket Club at Oxford in 1877.",he,1877,Oxford,competition,"While studying at Oxford, he made a single appearance in first-class cricket for Oxford University against the Marylebone Cricket Club at Oxford in 1877."
1255,"Born in Bergamo in 1530 to Isotta Ludovico and Lucas Brembati, Brembati was fluent in Greek, Latin, French, Spanish, and Italian.",Brembati,1530,Bergamo,birth,"Brembati, born in Bergamo in 1530 to Isotta Ludovico and Lucas Brembati, was fluent in Greek, Latin, French, Spanish, and Italian."
1256,"His departure in 1909 to live in San Sebastián forced him to resign from these functions and he was subsequently relieved of the vice-presidency of the club, a position that he carried out with great honor.",he,1909,San Sebastián,settlement,"His departure in 1909 to live in San Sebastián forced him to resign from these functions and he was subsequently relieved of the vice-presidency of the club, a position that he carried out with great honor."
1257,"spanIn 1978, Maffesoli became the teaching assistant of Julien Freund, a conservative political theorist and follower of Vilfredo Pareto, while he was lecturing in Strasbourg. Freund offered him to host the Institute of Polemology, which shows in his later works, under the themes of the ""founding conflict"" (La violence fondatrice, 1978), the ""conflictual society"" (PhD dissertation, 1981), and the use of the myth of Dionysus as ""regenerating disorder"" (L’Ombre de Dionysos, 1982).In 1982",Freund,1978,Strasbourg,start position,"In 1978, Maffesoli became the teaching assistant of Julien Freund, a conservative political theorist and follower of Vilfredo Pareto, while he was lecturing in Strasbourg."
1258,"He completed his bachelor""s degree in Pre-Law and Sociology and a Masters in Public Administration from East Central University in Ada, Oklahoma where he was in the Gamma Xi Chapter of Phi Kappa Tau in 1987.",He,1987,Ada,education,"He completed his bachelor""s degree in Pre-Law and Sociology and a Masters in Public Administration from East Central University in Ada, Oklahoma where he was in the Gamma Xi Chapter of Phi Kappa Tau in 1987."
1259,"Swekel was born May 2, 1964, and grew up in River Rouge, Michigan.",Swekel,"May 2, 1964",Michigan,birth,"Swekel, born May 2, 1964, and grew up in River Rouge, Michigan."
1260,Then in 1929 he took a job as an assistant to Walter Eucken at Albert Ludwig University and lived in Freiburg.,Walter Eucken,1929,Albert Ludwig University,position held,"In 1929, he began working as an assistant to Walter Eucken at Albert Ludwig University and resided in Freiburg."
1261,"She then completed her bachelor""s degree in psychology at Smith College in Northampton, Massachusetts in 1913 and received induction into the Phi Beta Kappa Society.",She,1913,Northampton,education,"Following that, she earned her bachelor""s degree in psychology at Smith College in Northampton, Massachusetts in 1913 and was inducted into the Phi Beta Kappa Society."
1262,"Varney moved to Devon in the late 1980s and lived alone after his wife, Lilian Emma Varney died in East Devon in 2002, aged 87.",Varney,the late 1980s,Devon,go to,"Varney relocated to Devon in the late 1980s and lived by himself after his wife, Lilian Emma Varney passed away in East Devon in 2002, at the age of 87."
1263,"Selby was born February 5, 1941, in Morgantown, West Virginia, the son of Clyde Ira Selby, a carpenter, and his wife Sarah E. (née McIntyre).",McIntyre,"February 5, 1941",Morgantown,give birth,"Selby, the son of Clyde Ira Selby, a carpenter, and his wife Sarah E. (née McIntyre), was born on February 5, 1941, in Morgantown, West Virginia."
1264,"Although she was a popular figure locally, she had a strained relationship with her children, and her profligacy ruined the family fortunes, meaning Eden""s elder brother Tim had to sell Windlestone in 1936.",Tim,1936,Windlestone,purchase and sell,"Despite being a popular figure locally, she had a strained relationship with her children, and her profligacy led to the family fortunes being ruined, resulting in Eden""s elder brother Tim having to sell Windlestone in 1936."
1265,Berry returned to Great Britain and traveled for some time but returned to South Africa in the early 1960s and worked for the Daily Mail.,Berry,the early 1960s,Great Britain,go to,Berry came back to Great Britain and traveled for some time but then returned to South Africa in the early 1960s and was employed by the Daily Mail.
1266,"In 1948, Simon was in an all-star band recording in Detroit, which included Sonny Stitt, Leo Parker, Sir Charles Thompson, Al Lucas and Shadow Wilson.",Charles Thompson,1948,Detroit,creation,"In 1948, Simon was part of an all-star band recording in Detroit, which featured Sonny Stitt, Leo Parker, Sir Charles Thompson, Al Lucas, and Shadow Wilson."
1267,"Can Ayvazoğlu (born September 14, 1979 in Germany) is a Turkish volleyball player.",Can Ayvazoğlu,"September 14, 1979",Germany,birth,"Can Ayvazoğlu, born on September 14, 1979 in Germany, is a Turkish volleyball player."
1268,"Kiki Wolfkill was born on July 7, 1969, in Seattle, Washington.",Kiki Wolfkill,"July 7, 1969",Seattle,birth,"Kiki Wolfkill was born on July 7, 1969, in Seattle, Washington."
1269,"After Mattheus Terwesten""s regular collaborator Gaspar Peeter Verbruggen the Younger left The Hague in 1732, Pieter Hardimé and Terwesten worked together on decorative projects catering to the taste of the wealthy citizens of The Hague.",Terwesten,1732,The Hague,other,"Following Gaspar Peeter Verbruggen the Younger's departure from The Hague in 1732, Pieter Hardimé and Terwesten collaborated on decorative projects catering to the taste of the wealthy citizens of The Hague."
1270,"Christine Isie Silver was born in 1883 (some sources give 1884), in London, the daughter of Arthur Silver and Isabella Charlotte Walenn Silver.",Isabella Charlotte Walenn Silver,1883,London,birth,"Christine Isie Silver entered the world in 1883 (some sources give 1884), in London, as the daughter of Arthur Silver and Isabella Charlotte Walenn Silver."
1271,Vaijanath Biradar was born on 1952 June 26 to Kailash patil and Nagamma in the village called Tegampur in Bhalki taluk of Bidar district of northern Karnataka.,Kailash patil,June 26,Tegampur,birth,Vaijanath Biradar came into the world on 1952 June 26 to Kailash patil and Nagamma in the village called Tegampur in Bhalki taluk of Bidar district of northern Karnataka.
1272,"On November 17, 2008, at the age of 92, deHavilland received the National Medal of Arts, the highest honor conferred to an individual artist on behalf of the people of the United States.",deHavilland,"November 17, 2008",United States,ceremony,"On November 17, 2008, at the age of 92, deHavilland was honored with the National Medal of Arts, the highest honor conferred to an individual artist on behalf of the people of the United States."
1273,"Jnanadanandini left Jorasanko in 1868 to live by herself in a mansion on Park Street, adjacent to Debendranath""s residence.",Jnanadanandini,1868,Jorasanko,leave from,"Jnanadanandini departed Jorasanko in 1868 to live by herself in a mansion on Park Street, adjacent to Debendranath""s residence."
1274,"In 1982 he was elected governor of his home state of Tabasco, taking office on 1 January 1983; he left the governorship in 1987 when President Carlos Salinas de Gortari called on him to head the PRI""s Political, Economic and Social Studies Institute (IEEPS).",he,1 January 1983,Tabasco,start position,"In 1982 he was elected governor of his home state of Tabasco, taking office on 1 January 1983; he left the governorship in 1987 when President Carlos Salinas de Gortari called on him to head the PRI""s Political, Economic and Social Studies Institute (IEEPS)."
1275,They were bankrupt by 1861 and she was left in Australia whilst her husband returned to England.,she,1861,Australia,settlement,"By 1861, they were bankrupt and she was left in Australia whilst her husband returned to England."
1276,"Joan Elizabeth Taylor was born in Horsell, Surrey, England, on 13 September 1958.",Joan Elizabeth Taylor,13 September 1958,Horsell,birth,"Joan Elizabeth Taylor came into the world in Horsell, Surrey, England, on 13 September 1958."
1277,"In 1877, already as a Stabs-Captain, he entered the General Staff Academy, but soon left to take part in the Russo-Turkish War, where he participated in a number of battles, including Tashkessen, Plovdiv and Adrianople, where he was wounded.",he,1877,General Staff Academy,start position,"In 1877, already as a Stabs-Captain, he entered the General Staff Academy, but soon left to take part in the Russo-Turkish War, where he participated in a number of battles, including Tashkessen, Plovdiv and Adrianople, where he was wounded."
1278,"In 1905, Kjelsberg was elected to the city council  of Drammen, where she sat for two terms.",she,1905,Drammen,start position,"In 1905, Kjelsberg was elected to the city council  of Drammen, where she sat for two terms."
1279,"In 1927, back in Mexico City, he met his later wife Guadalupe Marín, who was married to Diego Rivera at that time.",he,1927,Mexico City,meet,"In 1927, back in Mexico City, he encountered his later wife Guadalupe Marín, who was married to Diego Rivera at that time."
1280,Slađana Jovanović (; born 1972) is a politician in Serbia.,Slađana Jovanović,1972,Serbia,birth,Slađana Jovanović (; born 1972) is a politician in Serbia.
1281,"In the period from 1930 until 1932, Green conducted research at Woods Hole Oceanographic Institution where she worked with Alfred C. Redfield on respiration in porpoises and a project on hemoglobin in certain fish.",she,the period from 1930 until 1932,Woods Hole Oceanographic Institution,position held,"During the period from 1930 to 1932, Green conducted research at Woods Hole Oceanographic Institution where she collaborated with Alfred C. Redfield on respiration in porpoises and a project on hemoglobin in certain fish."
1282,"Between 1390 and 1397 Cyril and Therapont left the Simonov monastery and travelled north to Lake Siverskoye, where they stayed in the place which eventually became Kirillo-Belozersky Monastery.",Cyril,Between 1390 and 1397,Lake Siverskoye,go to,"Between 1390 and 1397 Cyril and Therapont left the Simonov monastery and journeyed north to Lake Siverskoye, where they resided in the place which eventually became Kirillo-Belozersky Monastery."
1283,"Blas Roca Calderio (24 July 1908 – 25 April 1987) was a Cuban politician and Marxist theorist who served as President of the National Assembly of People""s Power in Cuba from 1976 to 1981.",Blas Roca Calderio,1976 to 1981,Cuba,position held,"Blas Roca Calderio (24 July 1908 – 25 April 1987) was a Cuban politician and Marxist theorist who served as President of the National Assembly of People""s Power in Cuba from 1976 to 1981."
1284,"dmy datesNeil McNeil (30 December 1855 – 8 May 1927) was a prominent Australian businessman who was significant in the development of railways across Australia along with Western Australia""s timber industry.",dmy datesNeil McNeil,30 December 1855,Australia,birth,"dmy datesNeil McNeil (30 December 1855 – 8 May 1927) was a prominent Australian businessman who was significant in the development of railways across Australia along with Western Australia""s timber industry."
1285,"The couple moved to the French circus director Francois Loisset""s Cirque de Paris that was touring first in northern Germany, and then in Scandinavia, between 1876 and 1877.",Francois Loisset,between 1876 and 1877,Germany,performance,"The couple relocated to the French circus director Francois Loisset""s Cirque de Paris that was touring first in northern Germany, and then in Scandinavia, between 1876 and 1877."
1286,Miguel Angel Villamonte (born 12 October 1967) is an Argentine former professional footballer who played as a midfielder for clubs of Argentina and Chile.,Miguel Angel Villamonte,12 October 1967,Argentina,birth,Miguel Angel Villamonte (born 12 October 1967) is an Argentine former professional footballer who played as a midfielder for clubs of Argentina and Chile.
1287,"Having changed his name from Cyril Goldbert to Peter Wyngarde on arrival in the UK in December 1945, within a few months he began his professional acting career.",Cyril Goldbert,December 1945,UK,start position,"Having changed his name from Cyril Goldbert to Peter Wyngarde on arrival in the UK in December 1945, within a few months he began his professional acting career."
1288,He died in Tahiti in 1988.,He,1988,Tahiti,die,He passed away in Tahiti in 1988.
1289,"He transferred to the University of Rangoon in 1934, and was admitted to the highly selective Rangoon Medical College (RMC) in 1935.",He,1934,University of Rangoon,education,"He moved to the University of Rangoon in 1934, and was admitted to the highly selective Rangoon Medical College (RMC) in 1935."
1290,"He completed another fellowship in endocrinology at Harvard Medical School before moving to Washington, D.C. in 1959 to work at Georgetown University.",He,1959,Washington,start position,"After finishing another fellowship in endocrinology at Harvard Medical School, he relocated to Washington, D.C. in 1959 to work at Georgetown University."
1291,"In 205, Cao Cao attacked Yuan Tan at Nanpi.",Cao Cao,205,Nanpi,military action,"In 205, Yuan Tan was attacked by Cao Cao at Nanpi."
1292,"In 1881, he was elected a member of the Maryland State Senate from Dorchester County, being elected its President in the Legislative Session of 1884.",he,1881,Maryland,start position,"In 1881, he was elected a member of the Maryland State Senate from Dorchester County, and was elected its President in the Legislative Session of 1884."
1293,"In an action at Thabaksberg on 29 January 1901, the then Lance Corporal Shout assisted in maintaining the position of his men.",Shout,29 January 1901,Thabaksberg,military action,"On 29 January 1901, the then Lance Corporal Shout assisted in maintaining the position of his men in an action at Thabaksberg."
1294,"Harrison died in New Haven on October 29, 1901 and is interred at Grove Street Cemetery in New Haven.",Harrison,"October 29, 1901",New Haven,die,"Harrison passed away in New Haven on October 29, 1901 and was interred at Grove Street Cemetery in New Haven."
1295,"She did not learn to play guitar until she was 22, after graduating from Emory University.",she,22,Emory University,education,"She only learned to play guitar at the age of 22, after graduating from Emory University."
1296,"Rosner made aliyah in 1936, and started a new family in Tel Aviv.",Rosner,1936,Tel Aviv,settlement,"In 1936, Rosner made aliyah and started a new family in Tel Aviv."
1297,"Benny Daniel (born 1971), better known by his penname Benyamin, is an Indian writer in Malayalam from Kerala.",Benny Daniel,1971,Kerala,birth,"Benny Daniel (born 1971), better known by his penname Benyamin, is an Indian writer in Malayalam from Kerala."
1298,"At the age of 15, Atari moved to Tel Aviv where she resided in Kerem HaTeimanim under the guidance of Nahum Nardi who introduced her to Esther Gamlielit.",she,the age of 15,Tel Aviv,go to,"At the age of 15, Atari moved to Tel Aviv where she resided in Kerem HaTeimanim under the guidance of Nahum Nardi who introduced her to Esther Gamlielit."
1299,"In 2001, he visited his hometown of Cananea and designated it the capital of the state for a day in commemoration of the city""s centennial anniversary.",he,2001,Cananea,go to,"In 2001, he visited his hometown of Cananea and designated it the capital of the state for a day in commemoration of the city""s centennial anniversary."
1300,"Abel was born in Magnolia, Ohio, in 1908, to John Franklin Abel, a German blacksmith, and Mary Ann (née Jones) Abel, the daughter of a Welsh coal miner.",Abel,1908,Magnolia,birth,"Abel's birth took place in Magnolia, Ohio, in 1908, to John Franklin Abel, a German blacksmith, and Mary Ann (née Jones) Abel, the daughter of a Welsh coal miner."
1301,"The brigade ended its operations in North Africa in mid-April 1943, and Flavell left for England in June to take up a new command.",Flavell,June,England,go to,"The brigade completed its operations in North Africa in mid-April 1943, and Flavell departed for England in June to assume a new command."
1302,"In 1755 Felipe Cayetano de Amat y de Junyent was sent to South America, as Royal Governor of the Captaincy General and president of the Audiencia Real of Chile.",Felipe Cayetano de Amat y de Junyent,1755,Chile,start position,"In 1755 Felipe Cayetano de Amat y de Junyent was dispatched to South America, as Royal Governor of the Captaincy General and president of the Audiencia Real of Chile."
